time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_pupils,t_att8,avg_att8,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_CI_low,p8score_CI_upp
202324,Academic year,Local authority,E92000001,England,E12000002,North West,942,Cumberland,E06000063,CLA 12 months at 31 March,Revised,32,763.25,23.9,c,c,7,21.9,x,x,x,x,24,-14.174,-0.59,-1.16,-0.02
202324,Academic year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,CLA 12 months at 31 March,Revised,23,307.5,13.4,c,c,c,c,x,x,x,x,18,-30.149,-1.67,-2.33,-1.02
202324,Academic year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,CLA 12 months at 31 March,Revised,22,385.5,17.5,c,c,c,c,x,x,x,x,19,-35.228,-1.85,-2.49,-1.22
202324,Academic year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,CLA 12 months at 31 March,Revised,151,2631.5,17.4,12,7.9,25,16.6,x,x,x,x,122,-165.69,-1.36,-1.61,-1.11
202324,Academic year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,CLA 12 months at 31 March,Revised,86,1493.75,17.4,c,c,13,15.1,x,x,x,x,68,-117.669,-1.73,-2.07,-1.39
202324,Academic year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,CLA 12 months at 31 March,Revised,87,1766.25,20.3,10,11.5,18,20.7,x,x,x,x,64,-78.629,-1.23,-1.58,-0.88
202324,Academic year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,CLA 12 months at 31 March,Revised,44,829.25,18.8,7,15.9,11,25,x,x,x,x,33,-45.612,-1.38,-1.87,-0.9
202324,Academic year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,CLA 12 months at 31 March,Revised,50,1253.5,25.1,8,16,13,26,x,x,x,x,47,-57.806,-1.23,-1.63,-0.83
202324,Academic year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,CLA 12 months at 31 March,Revised,41,788,19.2,c,c,7,17.1,x,x,x,x,34,-48.791,-1.44,-1.91,-0.96
202324,Academic year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,CLA 12 months at 31 March,Revised,41,943,23,6,14.6,11,26.8,x,x,x,x,31,-39.5,-1.27,-1.77,-0.78
202324,Academic year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,CLA 12 months at 31 March,Revised,23,338.75,14.7,c,c,c,c,x,x,x,x,18,-33.972,-1.89,-2.54,-1.23
202324,Academic year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,CLA 12 months at 31 March,Revised,30,595,19.8,c,c,10,33.3,x,x,x,x,27,-43.083,-1.6,-2.13,-1.06
202324,Academic year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,CLA 12 months at 31 March,Revised,46,761.25,16.5,c,c,7,15.2,x,x,x,x,37,-73.877,-2,-2.45,-1.54
202324,Academic year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,CLA 12 months at 31 March,Revised,32,460.75,14.4,c,c,c,c,x,x,x,x,21,-26.82,-1.28,-1.88,-0.67
202324,Academic year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,CLA 12 months at 31 March,Revised,34,478,14.1,c,c,c,c,x,x,x,x,24,-32.844,-1.37,-1.93,-0.8
202324,Academic year,Local authority,E92000001,England,E12000002,North West,943,Westmorland and Furness,E06000064,CLA 12 months at 31 March,Revised,22,374.5,17,c,c,c,c,x,x,x,x,20,-34.441,-1.72,-2.34,-1.1
202324,Academic year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,CLA 12 months at 31 March,Revised,57,968.75,17,c,c,8,14,x,x,x,x,46,-64.125,-1.39,-1.8,-0.98
202324,Academic year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,CLA 12 months at 31 March,Revised,57,1328.5,23.3,8,14,16,28.1,x,x,x,x,50,-53.82,-1.08,-1.47,-0.68
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,CLA 12 months at 31 March,Revised,18,347.5,19.3,c,c,c,c,x,x,x,x,15,-21.793,-1.45,-2.17,-0.74
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,Bradford,E08000032,CLA 12 months at 31 March,Revised,99,1745.75,17.6,8,8.1,15,15.2,x,x,x,x,79,-118.15,-1.5,-1.81,-1.18
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,Calderdale,E08000033,CLA 12 months at 31 March,Revised,19,668.5,35.2,7,36.8,10,52.6,x,x,x,x,18,-11.703,-0.65,-1.3,k
