time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_read_eligible_pupils,t_read_met_expected_standard,pt_read_met_expected_standard,t_writta_eligible_pupils,t_writta_met_expected_standard,pt_writta_met_expected_standard,t_mat_eligible_pupils,t_mat_met_expected_standard,pt_mat_met_expected_standard,t_rwm_eligible_pupils,t_rwm_met_expected_standard,pt_rwm_met_expected_standard,t_gps_eligible_pupils,t_gps_met_expected_standard,pt_gps_met_expected_standard,t_scita_eligible_pupils,t_scita_met_expected_standard,pt_scita_met_expected_standard,t_read_progress_eligible_pupils,t_read_progress_score,avg_read_progress_score,avg_read_progress_score_lower_CI,avg_read_progress_score_upper_CI,t_writta_progress_eligible_pupils,t_writta_progress_score,avg_writta_progress_score,avg_writta_progress_score_lower_CI,avg_writta_progress_score_upper_CI,t_mat_progress_eligible_pupils,t_mat_progress_score,avg_mat_progress_score,avg_mat_progress_score_lower_CI,avg_mat_progress_score_upper_CI
202223,Academic year,Local authority,E92000001,England,E12000009,South West,878,Devon,E10000008,CINO at 31 March,Revised,141,62,44,141,49,35,141,57,40,141,37,26,141,58,41,140,65,46,126,-236.37,-1.88,-2.97,-0.78,128,-400.59,-3.13,-4.18,-2.08,124,-358.56,-2.89,-3.93,-1.85
202223,Academic year,Local authority,E92000001,England,E12000009,South West,838,Dorset,E06000059,CINO at 31 March,Revised,54,18,33,54,20,37,54,19,35,54,10,19,54,22,41,54,24,44,46,-140.6,-3.06,-4.87,-1.24,44,-137.83,-3.13,-4.92,-1.35,44,-118.98,-2.7,-4.45,-0.96
202223,Academic year,Local authority,E92000001,England,E12000009,South West,916,Gloucestershire,E10000013,CINO at 31 March,Revised,119,56,47,119,51,43,119,48,40,119,31,26,119,54,45,119,63,53,103,-178.38,-1.73,-2.95,-0.52,107,-216.97,-2.03,-3.17,-0.88,102,-259.14,-2.54,-3.69,-1.39
202223,Academic year,Local authority,E92000001,England,E12000009,South West,420,Isles of Scilly,E06000053,CINO at 31 March,Revised,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,0,z,z,z,z,0,z,z,z,z,0,z,z,z,z
202223,Academic year,Local authority,E92000001,England,E12000009,South West,802,North Somerset,E06000024,CINO at 31 March,Revised,19,c,c,19,c,c,19,c,c,19,c,c,19,c,c,c,c,c,17,-87.24,-5.13,-8.12,-2.14,16,-87.27,-5.45,-8.42,-2.49,16,-105.06,-6.57,-9.46,-3.67
202223,Academic year,Local authority,E92000001,England,E12000009,South West,879,Plymouth,E06000026,CINO at 31 March,Revised,53,23,43,53,21,40,53,21,40,53,16,30,53,21,40,52,26,50,51,-142.52,-2.79,-4.52,-1.07,51,-110.16,-2.16,-3.82,-0.5,51,-155.04,-3.04,-4.66,-1.42
202223,Academic year,Local authority,E92000001,England,E12000009,South West,933,Somerset,E10000027,CINO at 31 March,Revised,72,28,39,71,22,31,72,23,32,71,16,23,72,23,32,71,32,45,60,-136.02,-2.27,-3.86,-0.68,61,-166.97,-2.74,-4.26,-1.22,59,-174.89,-2.96,-4.47,-1.45
202223,Academic year,Local authority,E92000001,England,E12000009,South West,803,South Gloucestershire,E06000025,CINO at 31 March,Revised,67,21,31,67,22,33,67,23,34,67,19,28,67,21,31,67,27,40,57,-255.61,-4.48,-6.12,-2.85,59,-272.2,-4.61,-6.16,-3.07,57,-219.1,-3.84,-5.38,-2.31
202223,Academic year,Local authority,E92000001,England,E12000009,South West,866,Swindon,E06000030,CINO at 31 March,Revised,55,26,47,55,21,38,55,23,42,55,17,31,55,22,40,55,28,51,48,-145.25,-3.03,-4.81,-1.25,48,-178.9,-3.73,-5.44,-2.02,48,-148.94,-3.1,-4.78,-1.43
202223,Academic year,Local authority,E92000001,England,E12000009,South West,880,Torbay,E06000027,CINO at 31 March,Revised,46,23,50,46,20,43,45,18,40,45,16,36,46,22,48,46,21,46,43,-103.1,-2.4,-4.28,-0.52,44,-166.67,-3.79,-5.58,-2,42,-173.74,-4.14,-5.93,-2.35
202223,Academic year,Local authority,E92000001,England,E12000009,South West,865,Wiltshire,E06000054,CINO at 31 March,Revised,71,22,31,71,19,27,71,19,27,71,10,14,71,24,34,71,24,34,66,-321.59,-4.87,-6.39,-3.36,67,-307.9,-4.6,-6.04,-3.15,66,-316.99,-4.8,-6.23,-3.38
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,202,Camden,E09000007,CINO at 31 March,Revised,40,18,45,40,16,40,40,17,43,40,13,33,40,14,35,40,17,43,38,-126.26,-3.32,-5.32,-1.32,38,-76.77,-2.02,-3.94,-0.1,38,-152.01,-4,-5.88,-2.12
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,201,City of London,E09000001,CINO at 31 March,Revised,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,204,Hackney,E09000012,CINO at 31 March,Revised,65,33,51,65,35,54,65,34,52,65,28,43,65,34,52,65,34,52,62,-102.33,-1.65,-3.22,-0.08,63,-16.29,-0.26,-1.75,1.24,62,-130.3,-2.1,-3.57,-0.63
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,205,Hammersmith and Fulham,E09000013,CINO at 31 March,Revised,25,15,60,25,14,56,25,17,68,25,11,44,25,14,56,25,16,64,23,-41.78,-1.82,-4.39,0.75,23,-31.21,-1.36,-3.83,1.11,23,-60.97,-2.65,-5.07,-0.23
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,309,Haringey,E09000014,CINO at 31 March,Revised,60,32,53,60,34,57,60,29,48,60,27,45,60,33,55,60,38,63,46,-65.29,-1.42,-3.24,0.4,48,31.93,0.67,-1.05,2.38,46,-101.38,-2.2,-3.91,-0.49
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,206,Islington,E09000019,CINO at 31 March,Revised,40,23,57,40,20,50,40,21,53,40,16,40,40,20,50,40,23,57,38,-22.51,-0.59,-2.59,1.41,38,-41.85,-1.1,-3.02,0.82,37,-52.59,-1.42,-3.33,0.48
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,207,Kensington and Chelsea,E09000020,CINO at 31 March,Revised,14,6,43,14,c,c,14,9,64,14,c,c,14,9,64,14,12,86,12,18.32,1.53,-2.03,5.09,12,43.64,3.64,0.21,7.06,12,45.54,3.8,0.45,7.14
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,208,Lambeth,E09000022,CINO at 31 March,Revised,71,46,65,71,39,55,71,44,62,71,38,54,71,38,54,71,47,66,64,-53.81,-0.84,-2.38,0.7,64,-208.72,-3.26,-4.74,-1.78,64,-73.3,-1.15,-2.59,0.3
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,Lewisham,E09000023,CINO at 31 March,Revised,50,20,40,50,18,36,50,20,40,50,14,28,50,23,46,50,23,46,45,-183.05,-4.07,-5.91,-2.23,45,-191.64,-4.26,-6.03,-2.49,45,-180.08,-4,-5.73,-2.27
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,316,Newham,E09000025,CINO at 31 March,Revised,118,53,45,118,51,43,118,54,46,118,44,37,118,53,45,118,59,50,106,-297.65,-2.81,-4.01,-1.61,107,-178.56,-1.67,-2.81,-0.52,105,-169.29,-1.61,-2.74,-0.48
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,210,Southwark,E09000028,CINO at 31 March,Revised,64,23,36,64,19,30,64,17,27,64,14,22,64,21,33,64,24,38,55,-152.92,-2.78,-4.44,-1.12,55,-102.41,-1.86,-3.46,-0.26,55,-173.16,-3.15,-4.71,-1.59
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,211,Tower Hamlets,E09000030,CINO at 31 March,Revised,96,54,56,96,55,57,96,58,60,96,48,50,96,52,54,96,60,63,92,-86.37,-0.94,-2.22,0.35,93,-66.57,-0.72,-1.95,0.51,91,-32.46,-0.36,-1.57,0.86
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,212,Wandsworth,E09000032,CINO at 31 March,Revised,51,32,63,51,26,51,51,30,59,51,24,47,51,29,57,51,28,55,45,-52.15,-1.16,-3,0.68,47,-44.99,-0.96,-2.69,0.77,46,-19.24,-0.42,-2.13,1.29
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,213,Westminster,E09000033,CINO at 31 March,Revised,25,19,76,25,17,68,25,15,60,25,14,56,25,17,68,25,17,68,22,-10.59,-0.48,-3.11,2.15,22,-21.84,-0.99,-3.52,1.54,22,-51.04,-2.32,-4.79,0.15
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,301,Barking and Dagenham,E09000002,CINO at 31 March,Revised,59,25,42,59,24,41,59,21,36,59,16,27,59,25,42,59,31,53,51,-129.35,-2.54,-4.26,-0.81,53,-91.98,-1.74,-3.36,-0.11,51,-146.91,-2.88,-4.5,-1.26
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,302,Barnet,E09000003,CINO at 31 March,Revised,39,25,64,39,19,49,39,18,46,39,13,33,39,22,56,39,23,59,33,110.86,3.36,1.21,5.51,33,22.56,0.68,-1.38,2.75,33,0.7,0.02,-2,2.04
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,303,Bexley,E09000004,CINO at 31 March,Revised,63,23,37,63,24,38,63,23,37,63,18,29,63,17,27,63,24,38,54,-118.32,-2.19,-3.87,-0.51,55,-114.19,-2.08,-3.67,-0.48,54,-139.02,-2.57,-4.15,-1
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,304,Brent,E09000005,CINO at 31 March,Revised,100,43,43,100,46,46,100,49,49,100,36,36,100,50,50,100,49,49,91,-44.81,-0.49,-1.78,0.8,91,30.67,0.34,-0.91,1.58,91,17,0.19,-1.03,1.4
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,305,Bromley,E09000006,CINO at 31 March,Revised,89,40,45,89,36,40,89,36,40,89,29,33,89,39,44,89,44,49,76,-133.63,-1.76,-3.17,-0.34,78,-138.19,-1.77,-3.11,-0.43,77,-211.46,-2.75,-4.07,-1.43
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,306,Croydon,E09000008,CINO at 31 March,Revised,71,24,34,72,20,28,72,21,29,71,14,20,72,22,31,72,28,39,68,-159.7,-2.35,-3.84,-0.85,67,-217.65,-3.25,-4.7,-1.8,68,-179.52,-2.64,-4.05,-1.23
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,307,Ealing,E09000009,CINO at 31 March,Revised,57,21,37,57,21,37,57,21,37,57,15,26,57,24,42,57,23,40,54,-125.67,-2.33,-4,-0.65,54,-104.08,-1.93,-3.54,-0.31,54,-112.68,-2.09,-3.66,-0.51
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,308,Enfield,E09000010,CINO at 31 March,Revised,15,c,c,15,c,c,15,c,c,15,c,c,15,c,c,15,c,c,13,-78.72,-6.06,-9.47,-2.64,14,-87.83,-6.27,-9.44,-3.1,14,-93.16,-6.65,-9.75,-3.56
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,203,Greenwich,E09000011,CINO at 31 March,Revised,83,24,29,82,24,29,83,25,30,82,15,18,83,21,25,82,28,34,59,-171.69,-2.91,-4.51,-1.31,59,-119.84,-2.03,-3.57,-0.49,59,-183.67,-3.11,-4.62,-1.6
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,310,Harrow,E09000015,CINO at 31 March,Revised,58,24,41,58,21,36,58,21,36,58,15,26,58,20,34,58,27,47,52,-115.62,-2.22,-3.93,-0.51,52,-121.47,-2.34,-3.98,-0.69,52,-117.71,-2.26,-3.87,-0.66
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,311,Havering,E09000016,CINO at 31 March,Revised,69,22,32,69,19,28,69,21,30,69,12,17,69,20,29,69,24,35,65,-303.02,-4.66,-6.19,-3.13,67,-236.91,-3.54,-4.98,-2.09,67,-370.98,-5.54,-6.95,-4.12
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,312,Hillingdon,E09000017,CINO at 31 March,Revised,56,21,38,56,19,34,56,26,46,56,15,27,56,24,43,56,28,50,47,-128.55,-2.74,-4.53,-0.94,49,-174.5,-3.56,-5.25,-1.87,48,-122.82,-2.56,-4.23,-0.89
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,313,Hounslow,E09000018,CINO at 31 March,Revised,31,14,45,31,12,39,31,11,35,31,7,23,31,15,48,31,15,48,29,-37.16,-1.28,-3.57,1.01,30,-46.18,-1.54,-3.7,0.63,28,-58.21,-2.08,-4.27,0.11
