time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,year_breakdown,social_care_group,school_type,t_pupils,t_sess_possible,t_sess_overall,pt_overall,t_sess_authorised,pt_sess_authorised,t_sess_unauthorised,pt_sess_unauthorised,t_pupils_pa_10_exact,pt_pupils_pa_10_exact,t_pupils_pa_50_exact,pt_pupils_pa_50_exact
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,306,Croydon,E09000008,Six half terms,CPPO at 31 March,Special,28,10034,1437,14.3,594,5.9,843,8.4,11,39.3,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,307,Ealing,E09000009,Six half terms,CPPO at 31 March,Total,106,36753,4405,12,2163,5.9,2242,6.1,45,42.5,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,307,Ealing,E09000009,Six half terms,CPPO at 31 March,State-funded secondary,34,11353,1804,15.9,771,6.8,1033,9.1,19,55.9,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,307,Ealing,E09000009,Six half terms,CPPO at 31 March,State-funded primary,64,22707,2332,10.3,1174,5.2,1158,5.1,23,35.9,0,0
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,307,Ealing,E09000009,Six half terms,CPPO at 31 March,State-funded AP school,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,307,Ealing,E09000009,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,308,Enfield,E09000010,Six half terms,CPPO at 31 March,Total,52,17882,3471,19.4,1122,6.3,2349,13.1,29,55.8,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,308,Enfield,E09000010,Six half terms,CPPO at 31 March,State-funded secondary,30,10421,2171,20.8,490,4.7,1681,16.1,14,46.7,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,308,Enfield,E09000010,Six half terms,CPPO at 31 March,State-funded primary,14,4833,575,11.9,174,3.6,401,8.3,7,50,0,0
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,308,Enfield,E09000010,Six half terms,CPPO at 31 March,State-funded AP school,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,308,Enfield,E09000010,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
