time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,absence_terms,social_care_group,phase_type_grouping,t_pupils,t_sess_possible,t_sess_overall,pt_overall,t_sess_authorised,pt_sess_authorised,t_sess_unauthorised,pt_sess_unauthorised,t_pupils_pa_10_exact,pt_pupils_pa_10_exact,t_pupils_pa_50_exact,pt_pupils_pa_50_exact
202021,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,six half terms,CLA 12 months at 31 March,State-funded primary,190,68942,3538,5.1,3374,4.9,164,0.2,36,18.9,0,0
202021,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,six half terms,CLA 12 months at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,six half terms,CLA 12 months at 31 March,Total,136,49253,4123,8.4,3843,7.8,280,0.6,41,30.1,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,six half terms,CLA 12 months at 31 March,State-funded secondary,54,19384,2081,10.7,1870,9.6,211,1.1,23,42.6,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,six half terms,CLA 12 months at 31 March,State-funded primary,66,24013,1331,5.5,1297,5.4,34,0.1,15,22.7,0,0
202021,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,six half terms,CLA 12 months at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,six half terms,CLA 12 months at 31 March,Total,216,76825,5354,7,4466,5.8,888,1.2,52,24.1,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,six half terms,CLA 12 months at 31 March,State-funded secondary,96,33487,3870,11.6,3225,9.6,645,1.9,41,42.7,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,six half terms,CLA 12 months at 31 March,State-funded primary,76,27779,504,1.8,409,1.5,95,0.3,c,c,0,0
202021,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,six half terms,CLA 12 months at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,six half terms,CLA 12 months at 31 March,Total,158,55289,4822,8.7,3973,7.2,849,1.5,50,31.6,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,six half terms,CLA 12 months at 31 March,State-funded secondary,64,21117,2570,12.2,1884,8.9,686,3.2,22,34.4,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,six half terms,CLA 12 months at 31 March,State-funded primary,74,26968,1657,6.1,1556,5.8,101,0.4,21,28.4,0,0
202021,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,six half terms,CLA 12 months at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
