LA num,LA Name,LA number,GOInd,GOReg,SN1,SNP,SN2,SNP,SN3,SNP,SN4,SNP,SN5,SNP,SN6,SNP,SN7,SNP,SN8,SNP,SN9,SNP,SN10,SNP,
315,Merton,315,3,London (Outer),302,Close,307,Close,870,Close,314,Close,319,Close,317,Somewhat close,312,Somewhat close,212,Somewhat close,313,Somewhat close,308,Somewhat close,
316,Newham,316,3,London (Inner),304,Not Close,320,Not Close,301,Not Close,203,Not Close,309,Not Close,307,Not Close,871,Not Close,308,Not Close,821,Not Close,204,Not Close,
317,Redbridge,317,3,London (Outer),312,Close,307,Close,302,Close,313,Close,871,Close,310,Close,315,Somewhat close,821,Somewhat close,319,Somewhat close,870,Somewhat close,
318,Richmond upon Thames,318,3,London (Outer),868,Close,936,Close,872,Close,931,Somewhat close,314,Somewhat close,825,Somewhat close,919,Somewhat close,305,Somewhat close,873,Somewhat close,869,Somewhat close,
319,Sutton,319,3,London (Outer),305,Close,870,Close,919,Close,822,Close,867,Close,302,Close,314,Close,303,Close,826,Close,866,Close,
320,Waltham Forest,320,3,London (Outer),308,Close,309,Close,306,Close,304,Somewhat close,203,Somewhat close,330,Somewhat close,821,Somewhat close,307,Somewhat close,209,Somewhat close,315,Somewhat close,
330,Birmingham,330,8,West Midlands,821,Close,333,Close,336,Close,892,Close,352,Somewhat close,335,Somewhat close,308,Somewhat close,831,Somewhat close,320,Somewhat close,380,Somewhat close,
331,Coventry,331,8,West Midlands,831,Very Close,350,Very Close,874,Very Close,383,Close,373,Close,851,Close,887,Close,335,Close,357,Close,852,Close,
332,Dudley,332,8,West Midlands,372,Very Close,894,Very Close,887,Very Close,359,Very Close,371,Very Close,888,Very Close,813,Very Close,830,Very Close,357,Very Close,891,Very Close,
333,Sandwell,333,8,West Midlands,336,Very Close,335,Very Close,330,Close,831,Close,331,Close,892,Close,874,Close,861,Close,821,Close,889,Close,
334,Solihull,334,8,West Midlands,356,Very Close,877,Very Close,896,Very Close,937,Very Close,358,Very Close,895,Very Close,351,Very Close,881,Very Close,823,Very Close,811,Very Close,
335,Walsall,335,8,West Midlands,831,Very Close,354,Very Close,874,Very Close,861,Very Close,350,Very Close,357,Very Close,332,Very Close,333,Very Close,382,Close,894,Close,
336,Wolverhampton,336,8,West Midlands,333,Very Close,892,Close,335,Close,331,Close,330,Close,831,Close,852,Somewhat close,373,Somewhat close,874,Somewhat close,861,Somewhat close,
340,Knowsley,340,5,North West,876,Very Close,805,Very Close,393,Very Close,806,Very Close,394,Close,890,Close,341,Close,355,Close,357,Close,807,Close,
341,Liverpool,341,5,North West,355,Very Close,393,Very Close,391,Close,340,Close,806,Close,805,Close,394,Close,876,Close,390,Close,841,Close,
342,St. Helens,342,5,North West,359,Extremely Close,807,Very Close,841,Very Close,840,Very Close,370,Very Close,808,Very Close,384,Very Close,390,Very Close,357,Very Close,392,Very Close,
343,Sefton,343,5,North West,344,Very Close,888,Very Close,808,Very Close,392,Very Close,891,Very Close,351,Very Close,359,Very Close,830,Very Close,841,Very Close,381,Very Close,
