time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_read_eligible_pupils,t_read_met_expected_standard,pt_read_met_expected_standard,t_writta_eligible_pupils,t_writta_met_expected_standard,pt_writta_met_expected_standard,t_mat_eligible_pupils,t_mat_met_expected_standard,pt_mat_met_expected_standard,t_rwm_eligible_pupils,t_rwm_met_expected_standard,pt_rwm_met_expected_standard,t_gps_eligible_pupils,t_gps_met_expected_standard,pt_gps_met_expected_standard,t_scita_eligible_pupils,t_scita_met_expected_standard,pt_scita_met_expected_standard,t_read_progress_eligible_pupils,t_read_progress_score,avg_read_progress_score,avg_read_progress_score_lower_CI,avg_read_progress_score_upper_CI,t_writta_progress_eligible_pupils,t_writta_progress_score,avg_writta_progress_score,avg_writta_progress_score_lower_CI,avg_writta_progress_score_upper_CI,t_mat_progress_eligible_pupils,t_mat_progress_score,avg_mat_progress_score,avg_mat_progress_score_lower_CI,avg_mat_progress_score_upper_CI
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,Leeds,E08000035,CINO at 31 March,Revised,177,75,42,177,67,38,177,76,43,177,52,29,177,71,40,177,86,49,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,CINO at 31 March,Revised,42,20,48,42,18,43,42,22,52,42,15,36,42,19,45,42,23,55,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,CINO at 31 March,Revised,18,7,39,18,7,39,18,8,44,18,c,c,18,6,33,18,9,50,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,North Yorkshire,E06000065,CINO at 31 March,Revised,90,39,43,90,32,36,90,29,32,90,22,24,90,34,38,90,42,47,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,Rotherham,E08000018,CINO at 31 March,Revised,45,19,42,45,22,49,45,18,40,45,14,31,45,16,36,45,21,47,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,Sheffield,E08000019,CINO at 31 March,Revised,94,37,39,94,28,30,94,30,32,94,22,23,94,29,31,94,33,35,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,Wakefield,E08000036,CINO at 31 March,Revised,52,23,44,52,20,38,52,21,40,52,16,31,52,21,40,52,25,48,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,CINO at 31 March,Revised,33,7,21,33,6,18,33,c,c,33,c,c,33,c,c,33,9,27,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,831,Derby,E06000015,CINO at 31 March,Revised,62,30,48,62,28,45,62,25,40,62,19,31,62,25,40,62,34,55,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,830,Derbyshire,E10000007,CINO at 31 March,Revised,162,77,48,162,68,42,162,76,47,162,46,28,162,76,47,162,87,54,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
