time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Anypoint_episodes,Anypoint_child,Started_episodes,Started_child,Ended_episodes,Ended_child,At31_episodes,awaiting_assessment
2025,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Children in Need,8631,8331,3559,3483,2783,2711,5848,313
2025,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Children in Need,3688,3465,2099,1980,1698,1624,1990,99
2025,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Children in Need,9497,8818,4981,4645,4854,4580,4643,127
2025,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Children in Need,4193,3930,2143,2059,1804,1735,2389,50
2025,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Children in Need,1927,1817,949,919,874,832,1053,19
2025,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Children in Need,6655,6286,3290,3158,2585,2492,4070,149
2025,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Children in Need,2354,2249,1022,993,950,927,1404,9
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Children in Need,1740,1648,943,904,733,707,1007,79
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Children in Need,4189,3738,2297,2060,2134,1884,2055,134
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,Children in Need,6923,6412,3945,3655,3734,3463,3189,40
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Children in Need,6132,5821,2716,2613,2615,2487,3517,81
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Children in Need,24403,21623,15287,13673,13767,12435,10636,714
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Children in Need,3563,3063,2324,1987,2325,2002,1238,24
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Children in Need,27762,25565,17378,16109,16515,15442,11247,1054
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Children in Need,4264,4034,2373,2274,1718,1655,2546,8
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Children in Need,4609,4325,2255,2129,1896,1834,2713,150
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Children in Need,6224,5912,2801,2708,2552,2458,3672,71
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Children in Need,4606,4144,2769,2504,2962,2714,1644,32
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Children in Need,2816,2659,1434,1397,1084,1063,1732,14
2025,Reporting year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Children in Need,3290,3057,1892,1802,1911,1799,1379,67
