time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_pupils,t_att8,avg_att8,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_CI_low,p8score_CI_upp
202425,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,CLA 12 months at 31 March,Revised,52,825.25,15.9,c,c,8,15.4,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,CLA 12 months at 31 March,Revised,27,476.5,17.6,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,CLA 12 months at 31 March,Revised,41,769.5,18.8,c,c,8,19.5,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,CLA 12 months at 31 March,Revised,40,649.25,16.2,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,942,Cumberland,E06000063,CLA 12 months at 31 March,Revised,42,704.5,16.8,c,c,6,14.3,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,CLA 12 months at 31 March,Revised,21,367.5,17.5,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,CLA 12 months at 31 March,Revised,22,437.5,19.9,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,CLA 12 months at 31 March,Revised,161,2795.75,17.4,8,5,23,14.3,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,CLA 12 months at 31 March,Revised,76,1264.5,16.6,c,c,13,17.1,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,CLA 12 months at 31 March,Revised,93,1575,16.9,7,7.5,19,20.4,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,CLA 12 months at 31 March,Revised,29,549.5,18.9,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,CLA 12 months at 31 March,Revised,49,1121,22.9,8,16.3,12,24.5,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,CLA 12 months at 31 March,Revised,44,727.75,16.5,c,c,6,13.6,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,CLA 12 months at 31 March,Revised,26,473,18.2,c,c,6,23.1,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,CLA 12 months at 31 March,Revised,30,332.5,11.1,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,CLA 12 months at 31 March,Revised,47,891.75,19,c,c,11,23.4,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,CLA 12 months at 31 March,Revised,39,675,17.3,c,c,7,17.9,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,CLA 12 months at 31 March,Revised,27,532.25,19.7,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,CLA 12 months at 31 March,Revised,24,601.5,25.1,c,c,7,29.2,x,x,x,x,x,x,x,x,x
